"talk.edits","words.added","editors","talk.density","talk.diameter","talk.clustering.coef","talk.kcore.gt.2","days.from.start.to.end","days.from.half.to.end","founding.date"
189,52146,71,0.0534108937070333,4,0.27039627039627,0.387096774193548,114,9,"2008-10-26 21:07:20"
9,219668,13,0.25,2,0.891891891891892,0.555555555555556,333,2,"2008-11-16 00:11:09"
131,92788,104,0.0916666666666667,4,0.421052631578947,0.6,597,13,"2007-03-09 06:48:22"
30,79069,91,0.269230769230769,3,0.727272727272727,0.769230769230769,752,37,"2007-08-27 23:01:51"
80,34589,106,0.158102766798419,3,0.41044776119403,0.652173913043478,354,22,"2006-03-15 23:58:13"
272,128352,51,0.181578947368421,4,0.382978723404255,0.75,568,20,"2004-11-11 23:33:14"
0,56223,10,NA,0,NA,NA,11,0,"2005-04-18 16:14:07"
59,264239,47,0.203296703296703,3,0.418604651162791,0.642857142857143,130,2,"2008-03-13 19:54:05"
14,169167,149,0.152777777777778,1,1,0.444444444444444,955,467,"2006-04-21 02:57:17"
72,115560,82,0.141666666666667,3,0.290322580645161,0.5,880,108,"2006-05-27 22:17:26"
44,89599,22,0.172727272727273,3,0.230769230769231,0.363636363636364,123,8,"2008-03-13 19:50:54"
25,362245,78,0.142857142857143,2,0,0,90,86,"2006-04-21 08:56:13"
1,159706,120,NA,0,NA,NA,785,97,"2004-03-24 13:11:57"
25,133509,6,0.75,2,1,1,36,16,"2008-07-13 16:21:11"
52,50169,65,0.2,4,0.617647058823529,0.6875,456,20,"2007-08-09 22:31:49"
32,210318,60,0.357142857142857,3,0.461538461538462,0.714285714285714,429,124,"2004-11-11 23:33:14"
221,1156412,187,0.0475609756097561,4,0.47,0.439024390243902,853,61,"2005-01-14 20:30:57"
14,344759,152,0.142857142857143,2,0.5,0,27,9,"2006-06-20 14:39:40"
16,165698,43,0.214285714285714,2,0.176470588235294,0,139,104,"2006-02-22 12:32:08"
1,54098,4,NA,0,NA,NA,182,12,"2004-11-11 23:33:14"
103,56052,113,0.0832147937411095,5,0.432432432432433,0.447368421052632,652,78,"2007-08-09 22:31:49"
31,158027,19,0.188888888888889,2,0.555555555555556,0.4,145,25,"2008-10-09 22:17:08"
47,88290,55,0.11038961038961,3,0.542372881355932,0.363636363636364,554,60,"2008-03-31 21:45:05"
79,188497,184,0.0533428165007112,6,0.403846153846154,0.473684210526316,405,114,"2004-11-11 23:33:14"
272,211734,96,0.0498039215686275,4,0.130335365853659,0.372549019607843,1136,47,"2005-06-14 09:51:31"
15,1418945,83,0.833333333333333,2,1,1,888,77,"2007-05-08 09:40:20"
45,190863,76,0.143790849673203,5,0.627551020408163,0.777777777777778,430,48,"2004-11-11 23:33:14"
1,201481,19,NA,0,NA,NA,7,3,"2005-04-02 18:35:42"
0,448280,215,NA,0,NA,NA,1028,82,"2005-11-29 17:31:13"
2,319260,16,NA,0,NA,NA,47,20,"2008-02-15 10:54:36"
64,136001,21,0.377777777777778,3,0.588235294117647,0.8,76,1,"2008-03-13 19:54:05"
6,111303,28,0.166666666666667,2,0,0,65,28,"2007-02-12 09:55:00"
97,158731,238,0.0539811066126856,3,0.209076175040519,0.384615384615385,132,76,"2008-02-07 01:35:50"
26,115688,99,0.126373626373626,2,0.84,0.642857142857143,1230,197,"2004-11-11 23:33:14"
70,113247,98,0.116666666666667,4,0.512820512820513,0.4,366,39,"2007-08-09 22:31:49"
91,291532,44,0.118461538461538,4,0.447084233261339,0.538461538461538,91,67,"2008-04-24 19:21:06"
47,45602,44,0.223809523809524,3,0.539325842696629,0.733333333333333,50,0,"2004-11-11 23:33:14"
1,1229373,18,NA,0,NA,NA,983,245,"2006-10-26 10:06:19"
36,176561,261,0.192307692307692,4,0.548780487804878,0.571428571428571,319,283,"2008-05-09 22:41:11"
0,370898,15,NA,0,NA,NA,479,46,"2005-11-12 14:08:11"
0,429130,378,NA,0,NA,NA,1226,114,"2004-07-03 04:07:34"
140,184309,53,0.116600790513834,2,0.39527027027027,0.434782608695652,420,56,"2008-03-13 20:58:09"
28,498920,8,0.5,2,0.75,0.833333333333333,8,1,"2007-11-29 15:15:07"
8,40471,309,0.333333333333333,2,0,0,1082,240,"2004-03-24 17:32:08"
18,103136,73,0.143939393939394,3,0.673469387755102,0.416666666666667,578,30,"2007-08-09 22:31:49"
2,49332,3,NA,0,NA,NA,163,87,"2009-01-13 15:14:42"
34,92887,160,0.0686274509803922,3,0.230769230769231,0,695,359,"2007-07-17 20:49:31"
11,126479,124,0.25,1,1,0,609,220,"2006-03-03 07:45:14"
1,192785,14,0.5,1,NA,0,10,6,"2009-08-27 21:35:07"
167,195131,49,0.142857142857143,3,0.428571428571429,0.357142857142857,860,17,"2006-08-11 10:31:30"
87,169595,42,0.0612903225806452,3,0.193939393939394,0.290322580645161,17,7,"2007-01-17 09:50:54"
37,85748,114,0.0919117647058824,2,0.388888888888889,0.294117647058824,1398,573,"2004-11-11 23:33:14"
91,183670,62,0.108374384236453,5,0.462650602409639,0.551724137931034,91,24,"2007-09-15 04:43:28"
34,79988,146,0.217948717948718,3,0.654929577464789,0.692307692307692,179,142,"2006-09-20 00:01:58"
20,175925,173,0.267857142857143,3,0.571428571428571,0.5,38,14,"2006-02-14 23:29:59"
32,175760,76,0.0833333333333333,2,0,0,243,7,"2004-11-11 23:33:14"
3,390287,5,1,1,NA,0,14,13,"2009-09-28 21:19:03"
60,51992,69,0.175,4,0.512658227848101,0.75,389,28,"2007-08-09 22:31:49"
1,177328,4,0.5,1,NA,0,61,38,"2009-08-28 10:18:05"
6,78882,150,0.25,1,1,0,295,219,"2006-02-12 01:46:12"
12,40734,121,0.25,3,0,0,688,226,"2006-02-23 12:55:51"
124,100128,52,0.111111111111111,3,0.433333333333333,0.464285714285714,376,67,"2008-01-08 17:17:51"
130,140631,59,0.245833333333333,2,0.460629921259842,0.8125,276,19,"2008-11-14 14:34:51"
39,109655,74,0.111111111111111,2,0.375,0.333333333333333,542,531,"2007-07-07 09:59:31"
2,208682,18,0.166666666666667,1,NA,0,6,0,"2009-05-26 04:46:07"
